Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
1246417637,416,1678,,,,,,,,,,0.000,96.154,Pageable,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Host-to-Device]
1246559173,576,1680,,,,,,,,,,0.003,5444.444,Pageable,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Host-to-Device]
1270962807,3872,2172,25,1,1,8,8,1,64,0.002,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)0, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)"
1291771453,2752,2174,320,1,1,256,1,1,24,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)3, float, float, float, (int)256, (cudnnGenericOp_t)0, (cudnnNanPropagation_t)0, (int)0>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1292281407,2240,2177,320,1,1,256,1,1,22,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)1, float, float, float, (int)256, (cudnnGenericOp_t)8, (cudnnNanPropagation_t)1, (int)1>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1292837537,21024,2180,25,1,1,8,8,1,64,0.002,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)0, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)"
1292859329,2528,2182,320,1,1,256,1,1,24,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)3, float, float, float, (int)256, (cudnnGenericOp_t)0, (cudnnNanPropagation_t)0, (int)0>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1292862689,2144,2185,320,1,1,256,1,1,22,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)1, float, float, float, (int)256, (cudnnGenericOp_t)8, (cudnnNanPropagation_t)1, (int)1>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1301415646,2400,2678,2,8,1,196,1,1,40,0.000,0.003,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void cudnn::pooling_fw_4d_kernel<float, float, cudnn::maxpooling_func<float, float, (cudnnNanPropagation_t)1>, (cudnnPoolingMode_t)0, (bool)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, cudnnPoolingStruct, T2, T2, int, cudnn::reduced_divisor, cudnn::reduced_divisor)"
1301541054,20608,2681,7,2,1,8,8,1,64,0.002,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)0, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)"
1301562526,2176,2683,320,1,1,256,1,1,24,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)3, float, float, float, (int)256, (cudnnGenericOp_t)0, (cudnnNanPropagation_t)0, (int)0>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1301570750,1920,2686,320,1,1,256,1,1,22,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)1, float, float, float, (int)256, (cudnnGenericOp_t)8, (cudnnNanPropagation_t)1, (int)1>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1301661407,38336,2689,7,2,1,8,8,1,64,0.002,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)0, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)"
1301700447,2144,2691,320,1,1,256,1,1,24,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)3, float, float, float, (int)256, (cudnnGenericOp_t)0, (cudnnNanPropagation_t)0, (int)0>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1301703391,1856,2694,320,1,1,256,1,1,22,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)1, float, float, float, (int)256, (cudnnGenericOp_t)8, (cudnnNanPropagation_t)1, (int)1>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1301706015,2400,2697,1,8,1,98,2,1,40,0.000,0.003,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void cudnn::pooling_fw_4d_kernel<float, float, cudnn::maxpooling_func<float, float, (cudnnNanPropagation_t)1>, (cudnnPoolingMode_t)0, (bool)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, cudnnPoolingStruct, T2, T2, int, cudnn::reduced_divisor, cudnn::reduced_divisor)"
1301789503,39520,2700,2,4,1,8,8,1,64,0.002,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)0, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)"
1301829727,2176,2702,320,1,1,256,1,1,24,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)3, float, float, float, (int)256, (cudnnGenericOp_t)0, (cudnnNanPropagation_t)0, (int)0>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1301832639,1856,2705,320,1,1,256,1,1,22,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)1, float, float, float, (int)256, (cudnnGenericOp_t)8, (cudnnNanPropagation_t)1, (int)1>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1301900511,76577,2708,2,4,1,8,8,1,64,0.002,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)0, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)"
1301977824,2112,2710,320,1,1,256,1,1,24,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)3, float, float, float, (int)256, (cudnnGenericOp_t)0, (cudnnNanPropagation_t)0, (int)0>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1301980736,1888,2713,320,1,1,256,1,1,22,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)1, float, float, float, (int)256, (cudnnGenericOp_t)8, (cudnnNanPropagation_t)1, (int)1>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1301983392,2368,2716,1,3,1,18,11,1,40,0.000,0.003,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void cudnn::pooling_fw_4d_kernel<float, float, cudnn::maxpooling_func<float, float, (cudnnNanPropagation_t)1>, (cudnnPoolingMode_t)0, (bool)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, cudnnPoolingStruct, T2, T2, int, cudnn::reduced_divisor, cudnn::reduced_divisor)"
1301986560,1408,2719,,,,,,,,,,0.002,1454.545,Device,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Device-to-Device]
1302338625,6752,2721,32,1,1,32,16,1,128,0.000,0.002,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, float, float, float, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)9, (bool)0, cublasGemvParams<cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)"
1302361281,1792,2724,320,1,1,256,1,1,22,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)1, float, float, float, (int)256, (cudnnGenericOp_t)8, (cudnnNanPropagation_t)1, (int)1>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1302377473,1344,2727,,,,,,,,,,0.001,761.904,Device,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Device-to-Device]
1302393729,4480,2729,32,1,1,128,1,1,47,0.002,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void gemv2T_kernel_val<int, int, float, float, float, float, (int)128, (int)16, (int)2, (int)2, (bool)0, (bool)0, cublasGemvParams<cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13, T6, T6)"
1302408001,1696,2732,320,1,1,256,1,1,22,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)1, float, float, float, (int)256, (cudnnGenericOp_t)8, (cudnnNanPropagation_t)1, (int)1>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1302422497,1408,2735,,,,,,,,,,0.000,28.409,Device,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Device-to-Device]
1302454849,2144,2739,3,1,10,128,1,1,30,0.001,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void dot_kernel<float, (int)128, (int)0, cublasDotParams<cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>>(T4)"
1302461537,1824,2740,1,1,10,128,1,1,28,0.001,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void reduce_1Block_kernel<float, (int)128, (int)7, cublasGemvTensorStridedBatched<float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(const T1 *, T1, T4, int, const T1 *, T1, T5, T6, cublasPointerMode_t, cublasLtEpilogue_t, cublasGemvTensorStridedBatched<const biasType<T6::value_type, T1>::type>)"
1313995208,1984,2744,1,1,1,16,8,1,19,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void softmax_fw_small_kernel<float, float, (int)2, (int)1, (int)16, (int)1>(T1 *, const T1 *, int, int, int, T2, T2)"
1314021544,1504,2746,,,,,,,,,,0.000,26.596,Device,Pageable,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Device-to-Host]
1314367657,576,2770,,,,,,,,,,0.003,5444.444,Pageable,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Host-to-Device]
1314505898,4000,2772,25,1,1,8,8,1,64,0.002,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)0, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)"
1314521802,2400,2774,320,1,1,256,1,1,24,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)3, float, float, float, (int)256, (cudnnGenericOp_t)0, (cudnnNanPropagation_t)0, (int)0>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1314538410,2144,2777,320,1,1,256,1,1,22,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)1, float, float, float, (int)256, (cudnnGenericOp_t)8, (cudnnNanPropagation_t)1, (int)1>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1314727979,20160,2780,25,1,1,8,8,1,64,0.002,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)0, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)"
1314748939,2144,2782,320,1,1,256,1,1,24,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)3, float, float, float, (int)256, (cudnnGenericOp_t)0, (cudnnNanPropagation_t)0, (int)0>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1314754987,1888,2785,320,1,1,256,1,1,22,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)1, float, float, float, (int)256, (cudnnGenericOp_t)8, (cudnnNanPropagation_t)1, (int)1>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1314772075,2464,2788,2,8,1,196,1,1,40,0.000,0.003,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void cudnn::pooling_fw_4d_kernel<float, float, cudnn::maxpooling_func<float, float, (cudnnNanPropagation_t)1>, (cudnnPoolingMode_t)0, (bool)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, cudnnPoolingStruct, T2, T2, int, cudnn::reduced_divisor, cudnn::reduced_divisor)"
1314862443,20416,2791,7,2,1,8,8,1,64,0.002,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)0, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)"
1314883691,2112,2793,320,1,1,256,1,1,24,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)3, float, float, float, (int)256, (cudnnGenericOp_t)0, (cudnnNanPropagation_t)0, (int)0>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1314887435,1856,2796,320,1,1,256,1,1,22,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)1, float, float, float, (int)256, (cudnnGenericOp_t)8, (cudnnNanPropagation_t)1, (int)1>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1314974379,38080,2799,7,2,1,8,8,1,64,0.002,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)0, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)"
1315013291,2112,2801,320,1,1,256,1,1,24,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)3, float, float, float, (int)256, (cudnnGenericOp_t)0, (cudnnNanPropagation_t)0, (int)0>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1315016235,1856,2804,320,1,1,256,1,1,22,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)1, float, float, float, (int)256, (cudnnGenericOp_t)8, (cudnnNanPropagation_t)1, (int)1>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1315018859,2368,2807,1,8,1,98,2,1,40,0.000,0.003,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void cudnn::pooling_fw_4d_kernel<float, float, cudnn::maxpooling_func<float, float, (cudnnNanPropagation_t)1>, (cudnnPoolingMode_t)0, (bool)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, cudnnPoolingStruct, T2, T2, int, cudnn::reduced_divisor, cudnn::reduced_divisor)"
1315096716,39264,2810,2,4,1,8,8,1,64,0.002,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)0, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)"
1315136812,2176,2812,320,1,1,256,1,1,24,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)3, float, float, float, (int)256, (cudnnGenericOp_t)0, (cudnnNanPropagation_t)0, (int)0>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1315139756,1888,2815,320,1,1,256,1,1,22,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)1, float, float, float, (int)256, (cudnnGenericOp_t)8, (cudnnNanPropagation_t)1, (int)1>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1315206668,76768,2818,2,4,1,8,8,1,64,0.002,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)0, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)"
1315284236,2144,2820,320,1,1,256,1,1,24,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)3, float, float, float, (int)256, (cudnnGenericOp_t)0, (cudnnNanPropagation_t)0, (int)0>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1315287180,1824,2823,320,1,1,256,1,1,22,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)1, float, float, float, (int)256, (cudnnGenericOp_t)8, (cudnnNanPropagation_t)1, (int)1>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1315289804,2400,2826,1,3,1,18,11,1,40,0.000,0.003,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void cudnn::pooling_fw_4d_kernel<float, float, cudnn::maxpooling_func<float, float, (cudnnNanPropagation_t)1>, (cudnnPoolingMode_t)0, (bool)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, cudnnPoolingStruct, T2, T2, int, cudnn::reduced_divisor, cudnn::reduced_divisor)"
1315293036,1376,2829,,,,,,,,,,0.002,1488.372,Device,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Device-to-Device]
1315297996,6656,2831,32,1,1,32,16,1,128,0.000,0.002,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, float, float, float, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)9, (bool)0, cublasGemvParams<cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)"
1315313548,1728,2834,320,1,1,256,1,1,22,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)1, float, float, float, (int)256, (cudnnGenericOp_t)8, (cudnnNanPropagation_t)1, (int)1>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1315325933,1344,2837,,,,,,,,,,0.001,761.904,Device,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Device-to-Device]
1315338509,4512,2839,32,1,1,128,1,1,47,0.002,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void gemv2T_kernel_val<int, int, float, float, float, float, (int)128, (int)16, (int)2, (int)2, (bool)0, (bool)0, cublasGemvParams<cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13, T6, T6)"
1315352141,1696,2842,320,1,1,256,1,1,22,0.000,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void op_generic_tensor_kernel<(int)1, float, float, float, (int)256, (cudnnGenericOp_t)8, (cudnnNanPropagation_t)1, (int)1>(cudnnTensorStruct, T4 *, cudnnTensorStruct, const T2 *, cudnnTensorStruct, const T2 *, T3, T3, T3, cudnnActivationStruct, reducedDivisorArray, int)"
1315365101,1344,2845,,,,,,,,,,0.000,29.762,Device,Device,NVIDIA GeForce RTX 3080 (0),1,,7,[CUDA memcpy Device-to-Device]
1315383853,2016,2849,3,1,10,128,1,1,30,0.001,0.000,,,,,NVIDIA GeForce RTX 3080 (0),1,,7,"void dot_kernel<float, (int)128, (int)0, cublasDotParams<cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>>(T4)"
